focus_priority,focus_score,device,category,case_count,occurrences,study_new_129_cases,study_blinded_88_cases,catalog_action,matched_forms_top
P0: core catheter platform,199.0,Zoom aspiration/support family,aspiration catheter / support wire,39,117,27,12,"Split into Zoom 71, Zoom 88, Zoom 45/55/35, and Zoom 14 support wire context; fill dimensions and compatibility first.",Zoom 71 (50); Zoom 88 (28); Zoom 14 (19); Zoom (6); Zoom 45 (5); Zoom 35 (5); Zoom 55 (3); zoom (1)
P0: core catheter platform,169.0,Benchmark guide catheter,guide catheter,33,43,11,22,Fill Benchmark/BMX family dimensions and compatibility; distinguish Benchmark 071 vs BMX81/BMX96 if present.,benchmark (20); benchmark guide catheter (5); Benchmark guide catheter (5); BMX 81 (5); benchmark catheter (3); Benchmark (2); benchmark 071 catheter (1); Benchmark Guide catheter (1)
P0: core catheter platform,159.0,Phenom microcatheter family,microcatheter,31,57,21,10,Split Phenom 17/21/27 and map compatible use with aspiration and stent-retriever workflows.,phenom 21 (16); phenom 27 (13); phenom 17 (11); Phenom 21 (7); Phenom 27 (4); phenom plus (3); Phenom 17 (2); Phenom plus (1)
P0: core catheter platform,149.0,Echelon 10 microcatheter,microcatheter,29,44,15,14,"Treat as MMA/embolization workhorse; capture ID, length, compatible embolics, and source URLs.",Echelon 10 (33); echelon 10 (5); Echelon (4); echelon (1); Echelon10 (1)
P1: clinically important catheter/system,108.3,RIST guide/select catheter,guide catheter,21,33,21,0,Capture RIST guide and RIST select variants; prioritize radial access workflow details.,RIST (25); Rist (8)
P1: clinically important catheter/system,92.3,Walrus balloon guide catheter,balloon guide catheter,18,23,18,0,High-value compatibility gap already seen in coaxial work; fill ID/OD/length from manufacturer/FDA sources.,walrus (13); Walrus (10)
P1: clinically important catheter/system,71.7,Excelsior SL-10 microcatheter,microcatheter,14,17,8,6,"Classic coiling microcatheter; capture dimensions, compatible coils/wires, and aliases.",SL 10 (12); SL10 (4); SL-10 (1)
P1: clinically important catheter/system,67.0,Envoy guide catheter,guide catheter,13,20,3,10,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",Envoy (20)
P1: clinically important catheter/system,41.0,Cerebase DA guide sheath,guide sheath,10,10,0,10,Capture guide-sheath dimensions and access workflow; appears only in blinded set but is clinically important.,Cerebase (9); cerebase (1)
P1: high-frequency catheter/system,298.0,Simmons / SIM Select catheter,diagnostic catheter,98,109,54,44,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",Simmons (38); Simmons 2 catheter (22); Simmons 2 selection catheter (19); Sim select catheter (9); Simmons selection catheter (6); Simmons catheter (6); simmons 2 catheter (5); simmons (2)
P1: high-frequency catheter/system,124.0,Glide catheter,diagnostic catheter,40,43,16,24,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",glide catheter (36); angled tapered glide catheter (5); angled Glide catheter (1); Glide catheter (1)
P1: high-frequency catheter/system,96.3,Vertebral / VERT catheter,diagnostic catheter,31,33,17,14,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",vert selection catheter (20); Vert catheter (9); 5F Vert (2); 5F vert (1); Vert selection catheter (1)
P2: common catheter/system,58.0,Scepter XC balloon catheter,balloon catheter,14,20,11,3,"Prioritize balloon-assisted coiling workflow, balloon sizes, lumen/compatibility, and source labeling.",scepter XC (8); scepter (5); XC balloon (5); Scepter XC (2)
P3: lower-frequency catheter/system,41.1,Headway Duo microcatheter,microcatheter,8,11,7,1,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",headway duo (7); Headway Duo (3); headway (1)
P3: lower-frequency catheter/system,21.7,Berenstein catheter,diagnostic catheter,7,7,2,5,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",Berenstein catheter (6); berenstein catheter (1)
P3: lower-frequency catheter/system,21.1,Marathon microcatheter,microcatheter,4,11,2,2,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",Marathon (8); marathon (3)
P3: lower-frequency catheter/system,17.3,Eclipse balloon,balloon catheter,4,13,4,0,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",Eclipse balloon (12); eclipse balloon (1)
P3: lower-frequency catheter/system,16.8,Carrier catheter,intermediate catheter,4,8,4,0,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",medium carrier (4); medium Carrier (2); carrier (2)
P3: lower-frequency catheter/system,16.6,Penumbra 3MAX catheter,aspiration catheter,4,6,4,0,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",3 max (4); 3Max (2)
P3: lower-frequency catheter/system,13.6,Penumbra RED aspiration catheter,aspiration catheter,3,16,0,3,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",Red 72 (6); Red43 (4); Red 62 (2); Red 43 (1); red 62 (1); red 43 (1); Red62 (1)
P4: rare catheter/system mention,10.2,Ballast guide catheter,guide catheter,2,2,1,1,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",ballast (1); Ballast (1)
P4: rare catheter/system mention,10.2,VIA microcatheter,microcatheter,2,2,0,2,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",Via 17 (1); Via 27 (1)
P4: rare catheter/system mention,8.2,CereGlide catheter,intermediate catheter,2,2,0,2,Low count but high thrombectomy relevance; align with existing CereGlide 71/92 compatibility gaps.,Cereglide 71 (1); Cereglide 92 (1)
P4: rare catheter/system mention,3.1,Headhunter catheter,diagnostic catheter,1,1,1,0,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",headhunter catheter (1)
P4: rare catheter/system mention,2.1,InnerGlide insert catheter,insert catheter,1,1,0,1,"Create or strengthen source-backed catalog entry; capture aliases, sizes, compatibility, and operative workflow role.",Innerglide (1)
