device,category,priority_group,priority,priority_score,case_count,occurrences,study_new_129_cases,study_blinded_88_cases,matched_forms_top
Terumo Glidewire / angled guidewire,guidewire,named support device,P1: immediate priority,581.5,193,221,121,72,Terumo Glidewire (110); Terumo angled guidewire (69); Glidewire (18); glidewire (14); Terumo Glidewire Advantage (6); Terumo Glidewire advantage (2); Terumo angled guidewire advantage (1); Terumo glidewire (1)
Simmons / SIM Select catheter,diagnostic catheter,named support device,P1: immediate priority,296.5,98,109,54,44,Simmons (38); Simmons 2 catheter (22); Simmons 2 selection catheter (19); Sim select catheter (9); Simmons selection catheter (6); Simmons catheter (6); simmons 2 catheter (5); simmons (2)
Aristotle microwire family,microwire,named support device,P1: immediate priority,176.5,58,94,28,30,Aristotle 14 (60); Aristotle 18 (13); Aristotle 24 (9); aristotle 14 (8); aristotle (2); Aristotle (1); aristotle14 (1)
Glide catheter,diagnostic catheter,named support device,P1: immediate priority,122.5,40,43,16,24,glide catheter (36); angled tapered glide catheter (5); angled Glide catheter (1); Glide catheter (1)
Zoom aspiration/support family,aspiration catheter / support wire,named support device,P1: immediate priority,119.5,39,117,27,12,Zoom 71 (50); Zoom 88 (28); Zoom 14 (19); Zoom (6); Zoom 45 (5); Zoom 35 (5); Zoom 55 (3); zoom (1)
Benchmark guide catheter,guide catheter,named support device,P1: immediate priority,101.5,33,43,11,22,benchmark (20); benchmark guide catheter (5); Benchmark guide catheter (5); BMX 81 (5); benchmark catheter (3); Benchmark (2); benchmark 071 catheter (1); Benchmark Guide catheter (1)
"Coils/coiling, unspecified",coil,generic therapeutic category,P1: immediate priority,98.5,48,244,22,26,coil (145); coils (44); coiling (34); Coil (8); Coiling (7); COIL (6)
Phenom microcatheter family,microcatheter,named support device,P1: immediate priority,95.5,31,57,21,10,phenom 21 (16); phenom 27 (13); phenom 17 (11); Phenom 21 (7); Phenom 27 (4); phenom plus (3); Phenom 17 (2); Phenom plus (1)
Vertebral / VERT catheter,diagnostic catheter,named support device,P1: immediate priority,95.5,31,33,17,14,vert selection catheter (20); Vert catheter (9); 5F Vert (2); 5F vert (1); Vert selection catheter (1)
Synchro microwire family,microwire,named support device,P1: immediate priority,92.5,30,41,26,4,Synchro 2 (18); Synchro standard (8); synchro 2 (4); Synchro select (3); synchro (3); Synchro soft (2); Synchro2 (1); Synchro Standard (1)
